player_name,player_id,,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Miles Bridges,bridgmi02,2022,5968,2837,1.055824908,-0.00691809,1.048906818,4.15453472,-0.35024414,3.804290579,1.736542251,-0.049728888,1.686813363,6.431182834,6.431182834,0,2.715743288,0.272178907,2.987922195,0.142844686
Oshae Brissett,brissos01,2022,3298,1564,-1.222091314,-2.480902071,-3.702993385,-0.460321056,-3.501914702,-3.962235758,-1.130375456,-2.792230478,-3.922605934,-0.936546527,-0.936546527,0,-0.545712408,-2.577981485,-3.123693893,0.092163929
Malcolm Brogdon,brogdma01,2022,2475,1206,2.748499048,-1.023239111,1.725259936,0.15341171,0.839295319,0.992707028,2.356553988,-0.66015958,1.696394409,2.727875359,2.727875359,0,2.277638247,-0.738833509,1.538804738,-0.292290218
Armoni Brooks,brookar01,2022,1795,852,-0.809103582,-2.149146687,-2.958250269,-0.851501465,-0.931044134,-1.782545599,-0.836469974,-1.967729176,-2.80419915,-0.003935654,0.053037267,-0.056972921,-0.699634759,-2.791120961,-3.49075572,-0.300591187
Dillon Brooks,brookdi01,2022,2586,1220,-0.169668701,2.763724274,2.594055573,1.460548498,4.021893291,5.482441788,0.112986616,3.143497444,3.256484059,3.784399996,3.120465354,0.663934641,0.152263694,3.616865922,3.769129616,0.654018049
Bruce Brown,brownbr01,2022,3981,1913,0.510753802,0.566368886,1.077122688,-0.320678022,-0.863574003,-1.184252025,0.339233627,0.318831667,0.658065294,3.301152856,3.228526369,0.072626487,0.561878102,0.789229679,1.351107781,-0.594126006
Charlie Brown Jr.,brownch02,2022,380,177,-3.561158061,3.298384585,-0.262773476,-6.353662818,5.607420843,-0.746241975,-4.390017955,3.959560431,-0.430457524,0.213034234,0.213034234,0,-4.332493329,2.005670373,-2.326822955,0.639803643
Chaundee Brown Jr.,brownch05,2022,219,104,-4.105321009,-0.551470057,-4.656791066,-6.735183154,1.028378539,-5.706804614,-4.914292126,-0.221710076,-5.136002201,-0.12521161,-0.12521161,0,-4.657017823,-0.80699871,-5.464016534,-1.010557839
Greg Brown III,browngr01,2022,1360,640,-5.371008609,-3.562277428,-8.933286037,-4.964895297,-0.491440588,-5.456335884,-5.553383267,-3.03934065,-8.592723917,-1.925576846,-1.925576846,0,-5.452160546,-3.158814875,-8.610975421,0.931139534
Jaylen Brown,brownja02,2022,6398,3140,1.890186726,0.735730918,2.625917644,0.772674196,2.15800067,2.930674866,1.719575058,1.00791076,2.727485818,8.905490132,6.297404598,2.608085534,2.306776077,1.372283631,3.679059708,0.596996114
Moses Brown,brownmo01,2022,727,345,-3.385805266,-1.150315588,-4.536120854,-6.279489246,0.480828267,-5.798660979,-4.206634963,-0.937079777,-5.14371474,-0.426353647,-0.426353647,0,-3.917835198,-0.307313403,-4.225148601,0.800264848
Sterling Brown,brownst02,2022,1374,654,-2.765717138,1.097441221,-1.668275917,-4.500434727,2.663427866,-1.837006861,-3.318176241,1.462859538,-1.855316703,0.292489092,0.203138549,0.089350542,-3.238410641,0.5652659,-2.673144741,0.013717278
Troy Brown Jr.,browntr01,2022,2302,1092,-1.75337243,0.349049241,-1.404323189,-0.850442534,-1.229348734,-2.079791268,-1.655592605,0.06712789,-1.588464715,0.645134616,0.619989879,0.025144737,-1.777277686,-0.274665412,-2.051943098,-0.417528573
Jalen Brunson,brunsja01,2022,6254,3153,2.32589856,-0.171072471,2.154826089,3.410763428,-1.806886709,1.603876719,2.659996012,-0.544413578,2.115582434,7.78818218,5.698372528,2.089809652,2.5772267,0.035419042,2.612645742,-1.488697628
Thomas Bryant,bryanth01,2022,897,439,-2.360667944,-3.933383593,-6.294051536,-3.689107363,-2.46625021,-6.155357573,-2.7569487,-3.821666328,-6.578615028,-0.855237863,-0.855237863,0,-2.619308218,-3.461571397,-6.080879614,-0.266694814
